f[Hz] Sig[-]
50.000 0.643
100.000 0.467
150.000 0.897
200.000 0.863
250.000 1.141
300.000 16.263
350.000 31.046
400.000 33.655
450.000 41.985
500.000 57.360
550.000 33.048
600.000 29.679
650.000 11.090
700.000 1.222
750.000 0.928
800.000 0.955
850.000 1.303
900.000 2.535
950.000 0.804
1000.000 0.426
1050.000 0.330
1100.000 0.312
1150.000 0.385
1200.000 0.540
1250.000 0.863
1300.000 2.162
1350.000 2.040
1400.000 1.403
1450.000 1.050
1500.000 0.983
1550.000 1.077
1600.000 1.329
1650.000 2.362
1700.000 5.028
1750.000 6.243
1800.000 3.341
1850.000 2.580
1900.000 2.414
1950.000 2.562
2000.000 3.109
2050.000 4.270
2100.000 7.241
2150.000 36.675
2200.000 9.885
2250.000 4.508
2300.000 3.074
2350.000 2.441
2400.000 2.124
2450.000 2.166
2500.000 2.488
2550.000 3.467
2600.000 6.782
2650.000 6.553
2700.000 2.990
2750.000 2.034
2800.000 1.685
2850.000 1.612
2900.000 1.894
2950.000 2.782
3000.000 6.254
3050.000 6.272
3100.000 2.316
3150.000 1.349
3200.000 1.117
3250.000 1.048
3300.000 1.105
3350.000 1.332
3400.000 1.969
3450.000 7.009
3500.000 3.469
3550.000 1.585
3600.000 1.112
3650.000 0.935
3700.000 0.905
3750.000 1.034
3800.000 1.398
3850.000 2.743
3900.000 3.377
3950.000 1.344
4000.000 0.874
4050.000 0.715
4100.000 0.682
4150.000 0.725
4200.000 0.984
4250.000 1.451
4300.000 2.990
4350.000 3.104
4400.000 1.648
4450.000 1.392
4500.000 1.459
4550.000 1.655
4600.000 2.082
4650.000 3.571
4700.000 7.563
4750.000 8.182
4800.000 3.074
4850.000 1.905
4900.000 1.453
4950.000 1.237
5000.000 1.268
5050.000 1.468
5100.000 2.086
5150.000 4.510
5200.000 2.868
5250.000 2.004
5300.000 1.349
5350.000 1.101
5400.000 1.040
5450.000 1.149
5500.000 1.492
5550.000 2.614
5600.000 5.801
5650.000 2.274
5700.000 1.146
5750.000 0.897
5800.000 0.816
5850.000 0.832
5900.000 0.960
5950.000 1.561
6000.000 3.815
6050.000 8.924
6100.000 1.653
6150.000 1.027
6200.000 0.821
6250.000 0.758
6300.000 0.821
6350.000 1.034
6400.000 2.063
6450.000 3.740
6500.000 1.791
6550.000 1.020
6600.000 0.772
6650.000 0.673
6700.000 0.684
6750.000 0.846
6800.000 1.218
6850.000 2.766
6900.000 6.550
6950.000 1.315
7000.000 0.735
7050.000 0.605
7100.000 0.576
7150.000 0.632
7200.000 0.725
7250.000 1.281
7300.000 2.983
7350.000 1.906
7400.000 0.939
7450.000 0.662
7500.000 0.541
7550.000 0.539
7600.000 0.607
7650.000 0.832
7700.000 1.511
7750.000 4.713
7800.000 1.057
7850.000 0.659
7900.000 0.515
7950.000 0.472
8000.000 0.490
8050.000 0.576
8100.000 0.868
8150.000 1.799
8200.000 1.537
8250.000 0.727
8300.000 0.532
8350.000 0.454
8400.000 0.422
8450.000 0.482
8500.000 0.676
8550.000 1.089
8600.000 3.394
8650.000 1.016
8700.000 0.568
8750.000 0.391
8800.000 0.355
8850.000 0.368
8900.000 0.429
8950.000 0.588
9000.000 1.517
9050.000 1.515
9100.000 0.646
9150.000 0.427
9200.000 0.341
9250.000 0.328
9300.000 0.309
9350.000 0.432
9400.000 0.730
9450.000 2.027
9500.000 0.785
9550.000 0.418
9600.000 0.347
9650.000 0.314
9700.000 0.307
9750.000 0.352
9800.000 0.542
9850.000 1.015
9900.000 1.995
9950.000 0.687
10000.000 0.376
10050.000 0.318
10100.000 0.295
10150.000 0.313
10200.000 0.389
10250.000 0.606
10300.000 1.970
10350.000 0.636
10400.000 0.352
10450.000 0.254
10500.000 0.217
10550.000 0.221
10600.000 0.247
10650.000 0.331
10700.000 0.571
10750.000 1.366
10800.000 0.406
10850.000 0.313
10900.000 0.233
10950.000 0.203
11000.000 0.211
11050.000 0.271
11100.000 0.411
11150.000 0.842
11200.000 0.831
11250.000 0.336
11300.000 0.204
11350.000 0.173
11400.000 0.168
11450.000 0.181
11500.000 0.229
11550.000 0.464
11600.000 1.048
11650.000 0.439
11700.000 0.264
11750.000 0.199
11800.000 0.190
11850.000 0.207
11900.000 0.253
11950.000 0.357
12000.000 0.704
